build,param,operation,avg_power_mW,time_us,energy_uJ
neon,em_192s,verify,4548.5,82387.5000,374739.5438
neon,em_192f,keygen,3032.8,24.7727,75.1306
neon,em_192f,sign,3032.8,36278.6000,110025.7381
neon,em_192f,verify,3032.8,26625.7000,80750.4230
neon,em_256s,keygen,3999.8,123.5140,494.0313
neon,em_256s,sign,3999.8,166086.0000,664310.7828
neon,em_256s,verify,3999.8,144698.0000,578763.0604
neon,em_256f,keygen,3233.0,41.8642,135.3470
neon,em_256f,sign,3233.0,65820.6000,212797.9998
neon,em_256f,verify,3233.0,48031.1000,155284.5463
neon-pthread,128s,keygen,3706.8,0.6467,2.3972
neon-pthread,128s,sign,3706.8,34582.0000,128188.5576
neon-pthread,128s,verify,3706.8,30431.2000,112802.3722
neon-pthread,128f,keygen,3188.0,0.6520,2.0786
neon-pthread,128f,sign,3188.0,14463.9000,46110.9132
neon-pthread,128f,verify,3188.0,11174.3000,35623.6684
neon-pthread,192s,keygen,4101.9,0.6876,2.8205
neon-pthread,192s,sign,4101.9,106038.0000,434957.2722
neon-pthread,192s,verify,4101.9,91370.6000,374793.0641
neon-pthread,192f,keygen,3646.6,0.6650,2.4250
neon-pthread,192f,sign,3646.6,48438.4000,176635.4694
neon-pthread,192f,verify,3646.6,35262.1000,128586.7739
neon-pthread,256s,keygen,4856.6,0.7176,3.4851
neon-pthread,256s,sign,4856.6,183603.0000,891686.3298
neon-pthread,256s,verify,4856.6,165375.0000,803160.2250
neon-pthread,256f,keygen,3462.6,0.7073,2.4491
neon-pthread,256f,sign,3462.6,69281.4000,239893.7756
neon-pthread,256f,verify,3462.6,52117.9000,180463.4405
neon-pthread,em_128s,keygen,4135.0,0.6401,2.6468
neon-pthread,em_128s,sign,4135.0,23501.3000,97177.8755
neon-pthread,em_128s,verify,4135.0,19164.0000,79243.1400
neon-pthread,em_128f,keygen,3250.1,0.6255,2.0329
neon-pthread,em_128f,sign,3250.1,12117.1000,39381.7867
neon-pthread,em_128f,verify,3250.1,9214.5100,29948.0790
neon-pthread,em_192s,keygen,4399.6,26.5350,116.7434
neon-pthread,em_192s,sign,4399.6,68538.3000,301541.1047
neon-pthread,em_192s,verify,4399.6,55848.2000,245709.7407
neon-pthread,em_192f,keygen,3198.7,25.1349,80.3990
neon-pthread,em_192f,sign,3198.7,33094.6000,105859.6970
neon-pthread,em_192f,verify,3198.7,23394.0000,74830.3878
neon-pthread,em_256s,keygen,4766.3,41.0100,195.4660
neon-pthread,em_256s,sign,4766.3,117995.0000,562399.5685
neon-pthread,em_256s,verify,4766.3,96719.3000,460993.1996
neon-pthread,em_256f,keygen,3312.7,40.6556,134.6798
neon-pthread,em_256f,sign,3312.7,59311.3000,196480.5435
neon-pthread,em_256f,verify,3312.7,41490.1000,137444.2543
